S,X,T,r,div,v,n,Amercall
89.04765959,100,0.40354916,0.005572834,0.066683713,0.56871002,15000,7.923981285
81.50717325,100,0.328540213,0.079258255,0.075289725,0.432385365,15000,2.526010492
100.1042181,100,4.334802375,0.06144514,0.085296296,0.208746492,15000,11.55403643
70.93825167,100,0.589258749,0,0.090316089,0.256043406,15000,0.135840177
93.27668152,100,0.646870181,0.066394776,0.087062282,0.132399167,15000,1.260538005
75.37342414,100,2.771843297,0.099760817,0.044207172,0.497852853,15000,18.74730613
100.9858887,100,0.302505294,0.022249997,0.046596311,0.117634961,15000,2.77574833
129.5055435,100,0.676378295,0.030844124,0.053982949,0.160734526,15000,29.50554348
99.95928086,100,0.581088591,0,0.021656816,0.163695218,15000,4.428225719
70.21033058,100,0.873868603,0,0.058000132,0.263971686,15000,0.440269981
124.0860528,100,0.866551594,0.052597421,0.075462717,0.4297329,15000,30.14604497
88.84505456,100,0.11400224,0.012046808,0.089027823,0.207666851,15000,0.092356056
96.86606314,100,0.913416165,0.037517155,0.042723777,0.297677813,15000,9.181906873
106.45479,100,0.921792309,0.010906066,0.056824184,0.417958934,15000,17.58582569
87.57180994,100,0.654595395,0.048426072,0.084823408,0.263598691,15000,2.64336815
90.74928034,100,0.194956119,0.028887024,0.00025138,0.340766214,15000,2.375837921
125.301418,100,0.185188396,0,0.000841263,0.462433784,15000,26.71277044
96.86545703,100,0.511814407,0.022757496,0.026752949,0.583323254,15000,14.51180014
76.41508692,100,0.728733317,0,0.004475603,0.564859913,15000,7.407297738
93.35662135,100,0.767822911,0.015264292,0.071324102,0.385774718,15000,8.322262018
115.4101172,100,0.572598491,0.034699221,0.060841785,0.222339633,15000,16.38384016
89.41021013,100,2.613270483,0.027831323,0.061637693,0.325674329,15000,11.23730481
91.64733162,100,0.708710765,0.059928311,0.023770406,0.156621372,15000,2.547475437
119.9712488,100,0.671781143,0.077178939,0.086769057,0.122251068,15000,19.97124875
77.87615019,100,3.765508281,0.028545185,0.093177661,0.419174097,15000,11.00935599
78.15058545,100,0.562480863,0.053424853,0.067008127,0.468867762,15000,4.125169566
106.4745714,100,0.116598785,0.003042881,0.041612229,0.208959837,15000,6.981444267
109.6060275,100,0.774684183,0.080488874,0.03770632,0.208279849,15000,15.19353223
103.4134277,100,0.985300621,0.00687887,0.03586715,0.562531393,15000,22.50633212
87.03767701,100,0.147938651,0.080132014,0.00662675,0.501449447,15000,2.709432658
112.4627223,100,4.010039995,0.033780795,0.066563875,0.350687981,15000,27.35058567
96.44097612,100,1.005452336,0.003954792,0.087333568,0.475139236,15000,13.44457437
93.10196906,100,0.506220947,0.025105544,0.034020303,0.101266174,15000,0.518557974
121.9954183,100,0.639531456,0.008186382,0.083073264,0.154604196,15000,21.99541827
109.5823113,100,2.431073878,0.092542948,0.096347723,0.135877552,15000,12.41810022
85.34531979,100,0.847406838,0.025135971,0.016088334,0.143325418,15000,0.753419581
73.89389743,100,0.747785346,0,0.072372703,0.498120674,15000,4.181057142
85.64616333,100,0.156708591,0.012624523,0.081686724,0.417080528,15000,1.263301107
103.6312328,100,1.115040677,0.089218865,0.059789975,0.449711599,15000,21.12862205
86.09245387,100,0.231396514,0.055576531,0.049114345,0.516389852,15000,3.84747012
72.9878846,100,0.574754458,0.03141467,0.043757943,0.47347818,15000,3.015609139
98.59029562,100,3.765835664,0.062882361,0.09593087,0.281845239,15000,13.99029758
106.7185447,100,3.014249724,0,0.097706503,0.162617567,15000,7.849298086
71.64236597,100,0.309759881,0.016709799,0.097124507,0.182810055,15000,0.000461793
111.304596,100,0.28826334,0.019040435,0.079727295,0.203912769,15000,11.50014537
74.27455403,100,0.995218503,0.04208458,0.050110775,0.108093145,15000,0.006102397
89.58322345,100,0.118851694,0.032658865,0.054746728,0.578816306,15000,3.354651831
118.5947524,100,0.854272681,0.045744071,0.045137134,0.205154803,15000,20.2285088
93.82770127,100,0.803965625,0.061838559,0.030209554,0.595911681,15000,17.943124
81.49775016,100,0.486895566,0.013352186,0.000827521,0.11836175,15000,0.01999008
88.63920418,100,0.27965347,0.081546911,0.066247484,0.250945712,15000,1.28134906
